Part,Mass of variable,Time (s),Mass (g),Energy absorbed by the water (J),Percent of mass consumed
Variable oxidizer,0g of oxidizer,0.0,0.00,0.0,0.00%
Variable oxidizer,0g of oxidizer,4.0,0.15,,7.89%
Variable oxidizer,0g of oxidizer,5.0,0.11,,5.79%
Variable oxidizer,0g of oxidizer,8.0,,0.0,
Variable oxidizer,0g of oxidizer,9.5,0.22,,11.58%
Variable oxidizer,0g of oxidizer,13.0,0.23,,12.11%
Variable oxidizer,0g of oxidizer,13.5,0.31,,16.32%
Variable oxidizer,0g of oxidizer,14.0,0.29,,15.26%
Variable oxidizer,0g of oxidizer,16.0,,0.0,
Variable oxidizer,0g of oxidizer,17.0,0.37,,19.47%
Variable oxidizer,0g of oxidizer,18.5,0.38,,20.00%
Variable oxidizer,0g of oxidizer,19.5,0.46,,24.21%
Variable oxidizer,0g of oxidizer,25.5,,627.9,
Variable oxidizer,0g of oxidizer,27.5,0.59,,31.05%
Variable oxidizer,0g of oxidizer,29.0,0.61,,32.11%
Variable oxidizer,0g of oxidizer,31.0,0.66,,34.74%
Variable oxidizer,0g of oxidizer,32.5,0.69,,36.32%
Variable oxidizer,0g of oxidizer,33.5,0.78,,41.05%
Variable oxidizer,0g of oxidizer,35.0,0.74,,38.95%
Variable oxidizer,0g of oxidizer,37.0,0.76,,40.00%
Variable oxidizer,0g of oxidizer,41.5,,627.9,
Variable oxidizer,0g of oxidizer,42.5,0.92,,48.42%
Variable oxidizer,0g of oxidizer,43.5,0.91,,47.89%
Variable oxidizer,0g of oxidizer,45.5,0.96,,50.53%
Variable oxidizer,0g of oxidizer,47.0,0.99,,52.11%
Variable oxidizer,0g of oxidizer,49.7,,627.9,
Variable oxidizer,0g of oxidizer,52.5,1.06,,55.79%
Variable oxidizer,0g of oxidizer,53.5,1.11,,58.42%
Variable oxidizer,0g of oxidizer,55.0,1.10,,57.89%
Variable oxidizer,0g of oxidizer,56.0,1.14,,60.00%
Variable oxidizer,0g of oxidizer,57.5,1.14,,60.00%
Variable oxidizer,0g of oxidizer,59.5,1.19,,62.63%
Variable oxidizer,0g of oxidizer,60.0,,1255.8,
Variable oxidizer,0g of oxidizer,64.5,1.25,,65.79%
Variable oxidizer,0g of oxidizer,66.0,1.24,,65.26%
Variable oxidizer,0g of oxidizer,67.0,1.38,,72.63%
Variable oxidizer,0g of oxidizer,68.5,1.35,,71.05%
Variable oxidizer,0g of oxidizer,69.5,1.34,,70.53%
Variable oxidizer,0g of oxidizer,71.0,1.41,,74.21%
Variable oxidizer,0g of oxidizer,72.0,1.38,,72.63%
Variable oxidizer,0g of oxidizer,82.0,,1569.8,
Variable oxidizer,0g of oxidizer,84.5,,1883.7,
Variable oxidizer,0g of oxidizer,86.0,1.57,,82.63%
Variable oxidizer,0g of oxidizer,87.0,1.62,,85.26%
Variable oxidizer,0g of oxidizer,88.5,1.63,,85.79%
Variable oxidizer,0g of oxidizer,91.0,1.63,,85.79%
Variable oxidizer,0g of oxidizer,92.5,1.64,,86.32%
Variable oxidizer,0g of oxidizer,93.5,1.67,,87.89%
Variable oxidizer,0g of oxidizer,96.5,,1883.7,
Variable oxidizer,0g of oxidizer,98.0,1.71,,90.00%
Variable oxidizer,0g of oxidizer,99.5,1.79,,94.21%
Variable oxidizer,0g of oxidizer,100.5,1.76,,92.63%
Variable oxidizer,0g of oxidizer,102.5,1.77,,93.16%
Variable oxidizer,0g of oxidizer,105.0,,2197.7,
Variable oxidizer,0g of oxidizer,106.5,1.81,,95.26%
Variable oxidizer,0g of oxidizer,108.5,1.82,,95.79%
Variable oxidizer,0g of oxidizer,111.5,1.83,,96.32%
Variable oxidizer,0g of oxidizer,113.0,1.84,,96.84%
Variable oxidizer,0g of oxidizer,114.5,1.87,,98.42%
Variable oxidizer,0g of oxidizer,117.5,,2511.6,
Variable oxidizer,0g of oxidizer,119.5,1.89,,99.47%
